,CPU 1,CPU 2,CPU 3,CPU 4,IO 1,IO 2
172,P6(16),P4(32), , ,P3(6), 
173,P6(15),P4(31), , ,P3(5), 
174,P6(14),P4(30), , ,P3(4), 
175,P6(13),P4(29), , ,P3(3), 
176,P6(12),P4(28), , ,P3(2), 
177,P6(11),P4(27), , ,P3(1), 
178,P6(10),P4(26), , ,P2(10), 
179,P6(9),P4(25), , ,P2(9), 
180,P6(8),P4(24), , ,P2(8), 
181,P6(7),P4(23), , ,P2(7), 
182,P6(6),P4(22), , ,P2(6), 
183,P6(5),P4(21), , ,P2(5), 
184,P6(4),P4(20), , ,P2(4), 
185,P6(3),P4(19), , ,P2(3), 
186,P6(2),P4(18), , ,P2(2), 
187,P6(1),P4(17), , ,P2(1), 
188,P2(4),P4(16), , ,P5(20),P6(14)
189,P2(3),P4(15), , ,P5(19),P6(13)
190,P2(2),P4(14), , ,P5(18),P6(12)
191,P2(1),P4(13), , ,P5(17),P6(11)
192,P4(12), , , ,P5(16),P6(10)
193,P4(11), , , ,P5(15),P6(9)
194,P4(10), , , ,P5(14),P6(8)
195,P4(9), , , ,P5(13),P6(7)
196,P4(8), , , ,P5(12),P6(6)
197,P4(7), , , ,P5(11),P6(5)
198,P4(6), , , ,P5(10),P6(4)
199,P4(5), , , ,P5(9),P6(3)
200,P4(4), , , ,P5(8),P6(2)
201,P4(3), , , ,P5(7),P6(1)
202,P4(2),P6(12), , ,P5(6), 
203,P4(1),P6(11), , ,P5(5), 
204,P6(10), , , ,P5(4),P4(12)
205,P6(9), , , ,P5(3),P4(11)
206,P6(8), , , ,P5(2),P4(10)
207,P6(7), , , ,P5(1),P4(9)
208,P6(6),P5(24), , ,P2(14),P4(8)
209,P6(5),P5(23), , ,P2(13),P4(7)
210,P6(4),P5(22), , ,P2(12),P4(6)
211,P6(3),P5(21), , ,P2(11),P4(5)
212,P6(2),P5(20), , ,P2(10),P4(4)
213,P6(1),P5(19), , ,P2(9),P4(3)
214,P5(18), , , ,P2(8),P4(2)
