,CPU 1,CPU 2,CPU 3,CPU 4,IO 1,IO 2
263, , , , ,P6(1),P1(1)
264,P6(36),P1(12), , , ,P2(16)
265,P6(35),P1(11), , , ,P2(15)
266,P6(34),P1(10), , , ,P2(14)
267,P6(33),P1(9), , , ,P2(13)
268,P6(32),P1(8), , , ,P2(12)
269,P6(31),P1(7), , , ,P2(11)
270,P6(30),P1(6), , , ,P2(10)
271,P6(29),P1(5), , , ,P2(9)
272,P6(28),P1(4), , , ,P2(8)
273,P6(27),P1(3), , , ,P2(7)
274,P6(26),P1(2), , , ,P2(6)
275,P6(25),P1(1), , , ,P2(5)
276,P6(24), , , ,P1(16),P2(4)
277,P6(23), , , ,P1(15),P2(3)
278,P6(22), , , ,P1(14),P2(2)
279,P6(21), , , ,P1(13),P2(1)
280,P6(20), , , ,P1(12), 
281,P6(19), , , ,P1(11), 
282,P6(18), , , ,P1(10), 
283,P6(17), , , ,P1(9), 
284,P6(16), , , ,P1(8), 
285,P6(15), , , ,P1(7), 
286,P6(14), , , ,P1(6), 
287,P6(13), , , ,P1(5), 
288,P6(12), , , ,P1(4), 
289,P6(11), , , ,P1(3), 
290,P6(10), , , ,P1(2), 
291,P6(9), , , ,P1(1), 
292,P1(12),P6(8), , , , 
293,P1(11),P6(7), , , , 
294,P1(10),P6(6), , , , 
295,P1(9),P6(5), , , , 
296,P1(8),P6(4), , , , 
297,P1(7),P6(3), , , , 
298,P1(6),P6(2), , , , 
299,P1(5),P6(1), , , , 
300,P1(4), , , ,P6(12), 
301,P1(3), , , ,P6(11), 
302,P1(2), , , ,P6(10), 
303,P1(1), , , ,P6(9), 
304, , , , ,P6(8), 
305, , , , ,P6(7), 
306, , , , ,P6(6), 
307, , , , ,P6(5), 
308, , , , ,P6(4), 
309, , , , ,P6(3), 
310, , , , ,P6(2), 
311, , , , ,P6(1), 
312, , , , ,P1(12), 
313, , , , ,P1(11), 
314, , , , ,P1(10), 
315, , , , ,P1(9), 
316, , , , ,P1(8), 
317, , , , ,P1(7), 
318, , , , ,P1(6), 
319, , , , ,P1(5), 
320, , , , ,P1(4), 
321, , , , ,P1(3), 
322, , , , ,P1(2), 
323, , , , ,P1(1), 
324,P1(12), , , , , 
325,P1(11), , , , , 
326,P1(10), , , , , 
327,P1(9), , , , , 
328,P1(8), , , , , 
329,P1(7), , , , , 
330,P1(6), , , , , 
331,P1(5), , , , , 
332,P1(4), , , , , 
333,P1(3), , , , , 
334,P1(2), , , , , 
335,P1(1), , , , , 
336, , , , ,P1(12), 
337, , , , ,P1(11), 
338, , , , ,P1(10), 
339, , , , ,P1(9), 
340, , , , ,P1(8), 
341, , , , ,P1(7), 
342, , , , ,P1(6), 
343, , , , ,P1(5), 
344, , , , ,P1(4), 
345, , , , ,P1(3), 
346, , , , ,P1(2), 
347, , , , ,P1(1), 
